state,action,q_value
"[[0, 'X', 'X'], [0, 0, 'O'], [0, 0, 0]]",7,0.0
"[[0, 'X', 'X'], [0, 0, 'O'], [0, 0, 0]]",1,0.0
"[[0, 'X', 'X'], [0, 0, 'O'], [0, 0, 'O']]",1,0.181
"[[0, 0, 0], ['O', 0, 0], [0, 0, 0]]",8,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 0, 0]]",9,0.7042241169960453
"[[0, 0, 0], ['O', 0, 0], [0, 0, 0]]",1,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 0, 0]]",2,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 0, 0]]",7,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 0, 0]]",6,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 0, 0]]",3,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 'X', 0]]",5,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 'X', 0]]",6,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 'X', 0]]",2,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 'X', 0]]",1,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 'X', 0]]",7,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 'X', 0]]",3,0.0
"[[0, 0, 0], ['O', 0, 0], [0, 'X', 0]]",9,0.0
"[[0, 0, 0], ['O', 'O', 0], [0, 'X', 0]]",3,0.0
"[[0, 0, 0], ['O', 'O', 0], [0, 'X', 0]]",1,0.0
"[[0, 0, 'X'], ['O', 'O', 0], [0, 'X', 0]]",9,0.0
"[[0, 0, 'X'], ['O', 'O', 0], [0, 'X', 0]]",1,0.0
"[[0, 0, 'X'], ['O', 'O', 0], [0, 'X', 0]]",6,-0.1
"[[0, 0, 'X'], ['O', 'O', 0], [0, 'X', 'O']]",1,0.0
"[['X', 0, 'X'], ['O', 'O', 0], [0, 'X', 'O']]",7,0.0
"[['X', 0, 'X'], ['O', 'O', 0], [0, 'X', 'O']]",6,-0.1
"[['X', 0, 'X'], ['O', 'O', 0], [0, 'X', 'O']]",2,0.1
"[['X', 0, 'X'], ['O', 'O', 0], ['O', 'X', 'O']]",6,0.0
"[['X', 0, 'X'], ['O', 'O', 'X'], ['O', 'X', 'O']]",2,0.1855
"[[0, 0, 'X'], [0, 'O', 0], [0, 0, 0]]",8,0.0
"[[0, 0, 'X'], [0, 'O', 0], [0, 0, 0]]",9,0.0
"[[0, 0, 'X'], [0, 'O', 0], [0, 0, 0]]",4,0.0
"[[0, 0, 'X'], [0, 'O', 0], [0, 0, 0]]",6,0.0
"[[0, 0, 'X'], [0, 'O', 0], [0, 0, 0]]",7,0.0
"[[0, 0, 'X'], [0, 'O', 0], [0, 0, 0]]",1,0.0
"[[0, 0, 'X'], [0, 'O', 0], [0, 'O', 0]]",2,0.0
"[[0, 0, 'X'], [0, 'O', 0], [0, 'O', 0]]",4,-0.009000000000000001
"[[0, 'X', 'X'], [0, 'O', 0], [0, 'O', 0]]",1,0.0
"[['O', 'X', 'X'], [0, 'O', 0], [0, 'O', 0]]",4,0.0
"[['O', 'X', 'X'], ['X', 'O', 0], [0, 'O', 0]]",7,0.0
"[['O', 'X', 'X'], ['X', 'O', 0], ['O', 'O', 0]]",9,0.0
"[['O', 'X', 'X'], ['X', 'O', 0], ['O', 'O', 'X']]",6,0.37670500000000007
"[['O', 'X', 0], [0, 0, 0], [0, 0, 0]]",3,0.0
"[['O', 'X', 0], [0, 0, 0], [0, 0, 0]]",9,0.0
"[['O', 'X', 0], [0, 0, 0], [0, 0, 0]]",8,0.0
"[['O', 'X', 0], [0, 0, 0], [0, 0, 0]]",6,0.0
"[['O', 'X', 0], [0, 0, 0], [0, 0, 0]]",5,0.0
"[['O', 'X', 'X'], [0, 0, 0], [0, 0, 0]]",4,0.0
"[['O', 'X', 'X'], [0, 0, 0], [0, 0, 0]]",7,0.0
"[['O', 'X', 'X'], ['O', 0, 0], [0, 0, 0]]",8,0.0
"[['O', 'X', 'X'], ['O', 0, 0], [0, 'X', 0]]",7,-0.19
"[['O', 'X', 'X'], ['O', 0, 0], [0, 'X', 0]]",6,0.0
"[['O', 'X', 'X'], ['O', 0, 0], [0, 'X', 0]]",9,0.0
