Episode,Reward,Result
1318,1.0,win
1319,1.0,win
1320,1.0,win
1321,-1.0,lose
1322,1.0,win
1323,1.0,win
1324,1.0,win
1325,-1.0,lose
1326,1.0,win
1327,1.0,win
1328,1.0,win
1329,1.0,win
1330,1.0,win
1331,1.0,win
1332,1.0,win
1333,1.0,win
1334,-1.0,lose
1335,1.0,win
1336,0.5,tie
1337,1.0,win
1338,1.0,win
1339,1.0,win
1340,1.0,win
1341,1.0,win
1342,1.0,win
1343,1.0,win
1344,1.0,win
1345,1.0,win
1346,1.0,win
1347,0.5,tie
1348,1.0,win
1349,1.0,win
1350,1.0,win
1351,-1.0,lose
1352,-1.0,lose
1353,1.0,win
1354,1.0,win
1355,1.0,win
1356,1.0,win
1357,1.0,win
1358,0.5,tie
1359,1.0,win
1360,1.0,win
1361,-1.0,lose
1362,1.0,win
1363,1.0,win
1364,1.0,win
1365,1.0,win
1366,1.0,win
1367,1.0,win
1368,1.0,win
1369,1.0,win
1370,-1.0,lose
1371,1.0,win
1372,1.0,win
1373,1.0,win
1374,-1.0,lose
1375,1.0,win
1376,1.0,win
1377,1.0,win
1378,1.0,win
1379,1.0,win
1380,1.0,win
1381,1.0,win
1382,-1.0,lose
1383,1.0,win
1384,1.0,win
1385,-1.0,lose
1386,0.5,tie
1387,1.0,win
1388,1.0,win
1389,1.0,win
1390,-1.0,lose
1391,-1.0,lose
1392,0.5,tie
1393,1.0,win
1394,-1.0,lose
1395,1.0,win
1396,1.0,win
1397,1.0,win
1398,-1.0,lose
1399,1.0,win
1400,-1.0,lose
1401,-1.0,lose
1402,0.5,tie
1403,1.0,win
1404,-1.0,lose
1405,-1.0,lose
1406,1.0,win
1407,1.0,win
1408,-1.0,lose
1409,-1.0,lose
1410,0.5,tie
1411,1.0,win
1412,1.0,win
1413,1.0,win
1414,1.0,win
1415,1.0,win
1416,1.0,win
1417,1.0,win
1418,1.0,win
1419,1.0,win
1420,1.0,win
1421,1.0,win
1422,1.0,win
1423,1.0,win
1424,-1.0,lose
1425,1.0,win
1426,-1.0,lose
1427,1.0,win
1428,0.5,tie
1429,-1.0,lose
1430,1.0,win
1431,1.0,win
1432,1.0,win
1433,1.0,win
1434,1.0,win
1435,1.0,win
1436,1.0,win
1437,1.0,win
1438,1.0,win
1439,1.0,win
1440,1.0,win
1441,1.0,win
1442,1.0,win
1443,1.0,win
1444,1.0,win
1445,1.0,win
1446,1.0,win
1447,1.0,win
1448,1.0,win
1449,1.0,win
1450,1.0,win
1451,1.0,win
1452,1.0,win
1453,1.0,win
1454,-1.0,lose
1455,-1.0,lose
1456,-1.0,lose
1457,-1.0,lose
1458,1.0,win
1459,1.0,win
1460,1.0,win
1461,1.0,win
1462,1.0,win
